screen_name,location,created_at,language,created_year
hysentobias,,2014-04-06 01:32:21,,2014
wernbloom,,2012-08-01 05:50:18,,2012
SVTChris,,2011-12-13 14:07:04,,2011
Glenn_Hysen,"Göteborg, Sverige",2011-01-11 13:25:06,,2011
Glenn_Stromberg,"Bergamo, Italien",2012-04-06 10:14:11,,2012
juanitafranden,Paris,2010-06-01 13:09:12,,2010
jonas_dahlquist,"Stockholm, Sverige",2011-02-15 10:03:04,,2011
RobbieLauler,"Stockholm, Sverige",2009-03-18 14:54:24,,2009
MattiHaapoja,,2011-08-25 13:38:08,,2011
petermckinnon,Toronto,2008-11-23 23:19:07,,2008
carlbildt,,2009-01-02 10:14:07,,2009
fwikingsson,Stockholm,2010-05-01 17:18:10,,2010
PodFF,,2014-08-05 06:35:08,,2014
WTA,Worldwide,2008-11-04 15:21:46,,2008
TheNotoriousMMA,"Dublin, Ireland",2011-09-07 16:13:03,,2011
BindiIrwin,,2008-05-29 10:03:51,,2008
IanJamesPoulter,Dreamland,2009-04-03 09:49:04,,2009
superguidetti,"Vitoria-Gasteiz, Spain",2011-02-11 21:00:18,,2011
cmoresport,Sweden,2009-04-16 13:57:02,,2009
AndreAgassi,,2009-11-11 05:02:51,,2009
NickKyrgios,Bahamas,2013-01-22 03:39:34,,2013
lleytonhewitt,"Adelaide, South Australia",2015-03-03 01:10:19,,2015
TKokkinakis,"Adelaide, Australia",2013-03-19 18:58:53,,2013
Cristiano,"Turim, Piemonte",2010-06-14 19:09:20,,2010
tomasberdych,,2013-06-05 11:43:51,,2013
MikaelYmer,"Stockholm, Sweden",2011-11-12 06:20:32,,2011
JeremyClarkson,,2012-03-17 14:49:48,,2012
FredrikNp,,2013-03-08 18:59:09,,2013
MariaSharapova,,2011-04-26 17:26:43,,2011
stanwawrinka,Lausanne,2009-08-12 22:40:34,,2009
AdaHocog,Saipan,2014-07-19 11:07:27,,2014
Kilili_Sablan,Northern Mariana Islands,2017-11-03 13:48:50,,2017
Tesla,,2008-02-10 01:12:32,,2008
Jim_Jordan,"Washington, D.C. ",2008-12-16 17:20:24,,2008
SpaceX,"Hawthorne, CA",2009-04-23 21:53:30,,2009
JeffBezos,,2008-07-20 22:38:36,,2008
RepMattGaetz,,2017-01-10 22:32:25,,2017
YtNextGenGaming,usa ,2020-11-23 03:54:37,,2020
revolving360,"susupe, saipan 96950",2013-09-10 06:14:47,,2013
FriendsTrench,"Saipan, Northern Mariana Islan",2021-03-04 00:14:52,,2021
PS5StockUpdates,"Maryland, USA",2020-11-13 20:08:51,,2020
GYXdeals,USA & Canada ,2019-10-23 22:20:26,,2019
PS5Drop,"New York, USA",2020-11-16 02:34:14,,2020
techradar,"UK, US, AU",2008-07-23 11:58:12,,2008
mattswider,NYC (prior: Hermosa/Philly),2009-01-11 02:13:17,,2009
PlayStation,California,2007-11-27 22:37:20,,2007
PS5ESTORE,United States,2017-12-28 19:05:33,,2017
PS5StockAlerts,,2009-04-13 06:16:26,,2009
PS5RestockAlert,USA,2020-11-23 21:34:35,,2020
spieltimes,United States,2019-01-23 06:26:56,,2019
Wario64,"Bay Area, California",2009-04-05 07:08:20,,2009
kylesethgray,"Phoenix, AZ",2009-04-05 19:06:40,,2009
jack,,2006-03-21 20:50:14,,2006
gumroad,By your side,2011-04-03 01:08:03,,2011
NikkiHaley,,2018-12-31 16:27:48,,2018
AdamSandler,,2011-06-13 22:43:10,,2011
WilliamShatner,"Los Angeles, CA",2008-06-25 05:04:52,,2008
RepDanCrenshaw,"Houston, TX",2019-01-03 18:33:28,,2019
DanCrenshawTX,"Houston, TX",2017-11-14 21:46:32,,2017
US_SpaceCom,,2018-08-03 18:23:20,,2018
SenateGOP,"Washington, D.C.",2008-04-09 19:42:03,,2008
LeaderMcConnell,"Washington, DC",2013-03-07 20:21:15,,2013
RealBobMortimer,Reggae Party or Pet shop,2011-06-04 17:07:25,,2011
gillinghamjoe,Rural Germany (Longshank),2009-03-25 15:25:43,,2009
RonJichardson,,2010-10-05 20:12:33,,2010
emuna670,Northern Mariana Islands,2013-10-27 19:07:57,,2013
GOPChairwoman,,2014-02-20 18:05:28,,2014
BorisJohnson,United Kingdom,2015-04-01 20:15:49,,2015
LifeMathMoney,Newsletter and other links:,2018-05-18 06:43:06,,2018
Mens_Corner_,,2010-11-07 14:19:49,,2010
DLoesch,"Texas, USA",2007-07-25 03:30:38,,2007
JackPosobiec,Rent-free in your head,2012-05-28 13:31:22,,2012
TitaniaMcGrath,,2018-04-28 19:50:33,,2018
